试题类型	知识范畴	题干	试题难度	正确答案	答案																																																																																																																																																																																																																																																							
单选题	公共基础	支付密码器注销后，营业机构不得进行对该支付密码器进行除_____外的任何操作，营业机构应提醒客户慎用。	中	4	密钥更换	密钥停用	变更账号	删除账号																																																																																																																																																																																																																																																				
单选题	公共基础	支付密码器账户从密钥更换日起，用原密钥签发的_____在其有效期内核验；用原密钥签发的除_____以外的其它凭证一律无效。	难	3	支票，汇兑凭证	汇票，汇兑凭证	支票，支票	汇票，支票																																																																																																																																																																																																																																																				
单选题	公共基础	支付密码器发生故障时，存款人应向其领购银行提出更换申请，经办行审核相关资料后，应收回“故障机”，并对该密码器做_____处理。经办行对更换的新的支付密码器做_____处理。	难	1	注销，发行	止付，发行	停用，维护	注销，维护																																																																																																																																																																																																																																																				
单选题	公共基础	客户更换新的密码器后，更换前签发的票据_____。	难	4	更换当日有效	无效	在有效期内部分有效	在有效期内仍然有效																																																																																																																																																																																																																																																				
单选题	公共基础	凡在我行各级营业机构开立_____的存款人，均可申请使用电子支付密码。	易	3	电子银行产品	个人定期账户	银行结算账户	单位定期账户																																																																																																																																																																																																																																																				
单选题	公共基础	银行端申报查询及缴税业务是指纳税人在营业机构查询其在征收机关的_____，并依据查询结果确定需缴纳的_____，进行申报纳税。	难	2	缴税记录，税种和日期	申报信息，税种和金额	缴税记录，税种和金额	申报信息，日期和金额																																																																																																																																																																																																																																																				
单选题	公共基础	纳税人开户行在收到征收机关发起的实时扣税信息，且校验协议无误后，从纳税人账户的扣款方式为_____。	中	3	协议扣款	经征收机关审核通过后扣款	自动扣款	手动扣款																																																																																																																																																																																																																																																				
单选题	公共基础	与TIPS对账结束后，行内系统的资金清算采用“自下而上、逐级滚动、轧差清算”的方式，实现_____。	中	1	当日清算、自动记账	隔日清算、手工记账	当日清算、手工记账	隔日清算、自动记账																																																																																																																																																																																																																																																				
单选题	公共基础	营业机构应_____检查是否有征收机关扣税业务失败明细清单、征收机关扣税异常业务明细表、三方协议验证失败清单，发现有失败和异常的业务应及时进行处理。	易	4	每季	每月	每周	每日																																																																																																																																																																																																																																																				
单选题	公共基础	营业机构生成的实时扣税业务清单，反映营业机构_____发生的征收机关_____成功的业务明细。	中	1	当日，实时扣税	当日，批量扣税	上一日，实时扣税	上一日，批量扣税																																																																																																																																																																																																																																																				
单选题	公共基础	核准后销户中心受理时，报送行是作业中心，由中心（ ）发起核准后流程，录入人行核准结果，扫描核准后销户资料。	难	3	审核岗	复核岗	资料清分岗	异常处理岗																																																																																																																																																																																																																																																				
单选题	公共基础	受理组用户需录入简单信息→【查询资料清单】→【确认资料清单】→【打印资料清单】→扫描上传→上传成功后联动打印业务受理凭证。属于以下（  ）种交易。	难	1	 核准前结转信息录入	 核准前结转网点预检查	 核准前结转网点复核	核准前结转业务退回																																																																																																																																																																																																																																																				
单选题	公共基础	集中作业平台业务大、小额支付渠道的往账业务收款人户名长度增长至可支持（ ）个汉字或字符。	中	2	30	60	34	65																																																																																																																																																																																																																																																				
单选题	公共基础	集中作业平台业务大小额支付渠道的往账业务附言长度增长至可支持（  ）个汉字或字符。	中	3	30	34	130	60																																																																																																																																																																																																																																																				
单选题	公共基础	集中作业平台业务大、小额支付渠道的发出查询、发出自由格式报文、收到查询发出查复交易，查询查复内容长度增长至可支持（ ）个汉字或字符。	中	4	30	60	34	250																																																																																																																																																																																																																																																				
单选题	公共基础	集中作业平台业务银企通业务户名长度增加至（ ）个汉字	中	2	30	60	34	250																																																																																																																																																																																																																																																				
单选题	公共基础	(   )指有大小额支付系统行号，代替业务受理行发出大小额支付系统报文的机构，在大小额支付系统报文中作为“发起行”。	易	2	受理行	代理行	发报行	 收报行																																																																																																																																																																																																																																																				
单选题	公共基础	（ ）指受理客户提交的支付凭证并对其进行扫描、上传的网点。	易	1	受理行	代理行	发报行	 收报行																																																																																																																																																																																																																																																				
单选题	公共基础	（ ）指有大小额支付系统行号的网点，在大小额支付系统往账报文中的“发起行行号”，在代理发汇中，发报行行号为代理行的大小额支付系统行号。发报行仅针对报文信息，账务仍反映在受理行。	易	3	受理行	代理行	发报行	 收报行																																																																																																																																																																																																																																																				
单选题	公共基础	集中作业平台系统支持（ ）天内的业务受理凭证补打。	中	2	30	31	60	90																																																																																																																																																																																																																																																				
单选题	公共基础	集中作业平台系统支持（ ）天内的客户扣款回单补打。	中	4	30	31	60	90																																																																																																																																																																																																																																																				
单选题	公共基础	发出查询成功后，若（ ）个工作日未收到查复的，应发出二次查询。	中	2	1	2	3	4																																																																																																																																																																																																																																																				
单选题	公共基础	集中作业平台系统个贷放款业务要求拉闸后业务（ ），故超过拉闸时间个贷中心/网点发起业务后系统提示相应报错，业务上传不成功。	难	2	可上传，可挂起	不可上传，不可挂起	不可上传，可挂起	可上传，不可挂起																																																																																																																																																																																																																																																				
单选题	公共基础	集中作业平台系统用户签到时输入用户码后选择登录方式，分为（ ）方式，登录后进入系统。	难	4	指纹登录	密码登录	静态密码登录	指纹登录和密码登录																																																																																																																																																																																																																																																				
单选题	公共基础	38.集中作业平台系统网点（ ）用户都可对网点发起的业务进行主动撤销。  	难	3	业务复核岗	生产管理岗	业务受理岗	信息管理岗																																																																																																																																																																																																																																																				
单选题	公共基础	集中作业平台系统中心退回的业务优先退回网点原业务受理岗用户，原业务受理岗用户处于正式签退状态时，业务退回该网点最活跃的业务受理岗用户，若网点全部业务受理岗用户均处于（ ）状态，系统仍退回原业务受理岗用户。	难	1	未签到或正式签退	正式签退	临时签退	未签到																																																																																																																																																																																																																																																				
单选题	公共基础	集中作业平台系统电子验印中手工验印通过后需用户复验，无权限复验用户是（ ）：	难	4	网点业务受理岗	网点生产管理岗	网点复验岗	网点初验岗																																																																																																																																																																																																																																																				
单选题	公共基础	集中作业平台系统密码使用（ ）天后，用户登录时系统提示修改密码，密码必须是6位字母或数字的组合，新旧密码不能一致。   	难	4	7	10	15	30																																																																																																																																																																																																																																																				
单选题	公共基础	（ ）交易只能查询辖内的机构，同级机构间不能相互查询。	难	1	机构信息查询	机构状态监控	用户状态监控	用户信息查询																																																																																																																																																																																																																																																				
单选题	公共基础	集中作业系统个贷业务数据保存（ ）年，当天的数据保存在当前库，以前的数据保存在历史库。	难	2	1年	2年	3年	 5年																																																																																																																																																																																																																																																				
单选题	公共基础	集中作业平台中小额支付系统允许发起汇款冲销的业务范围往账报单状态为(  )的往账业务。	难	3	发送成功	发送不成功	待核销	已清算																																																																																																																																																																																																																																																				
单选题	公共基础	漫游汇款，柜员发现汇款人、收款人、金额等汇款要素录入错误，应立即报告运营主管，通知汇款人持有效身份证件和漫游汇款回执来行办理相关手续，经审批后进行（    ）处理。	中	3	修改	撤销	退汇	终止																																																																																																																																																																																																																																																				
单选题	公共基础	漫游汇款兑付时，支取密码连续（    ）次输入错误，当日不得办理兑付	易	3	一	二	三	四 																																																																																																																																																																																																																																																				
单选题	公共基础	漫游汇款退汇必须由（    ）	易	2	原汇款人在汇入机构办理	原汇款人在原汇出机构办理	收款人在汇入机构办理	代理人在原汇出机构办理																																																																																																																																																																																																																																																				
单选题	公共基础	在“应解汇款及临时存款”科目下设置“漫游汇款结算款项”账户，本账户设置在（    ），核算全行漫游汇款业务款项	难	1	总行	一级分行	二级分行	各支行																																																																																																																																																																																																																																																				
单选题	公共基础	漫游汇款发现差错柜员应及时处理，最迟不超过（    ）；柜员本人无法处理的，可由其他有权柜员处理	中	2	当日	次日上午	次日下午	下一个工作日日终																																																																																																																																																																																																																																																				
单选题	公共基础	对未在农业银行开立账户的汇款人，办理漫游汇款现金汇款一次性交易金额（    ）以上的，除进行联网核查、留存影印件或复印件外，还应按反洗钱规定 登记汇款人身份基本信息	易	4	五万元（不含）	五万元（含）	一万元（不含）	一万元（含）																																																																																																																																																																																																																																																				
单选题	公共基础	漫游汇款兑付时，客户忘记兑付密码应（    ）	难	3	不得办理兑付，但可由收款人办理密码挂失、重置	不得办理兑付，由收款人办理兑付终止	不得办理兑付，但可由汇款人办理退汇	不得办理兑付，但可由汇款人办理密码挂失、重置																																																																																																																																																																																																																																																				
单选题	公共基础	结算印章每个有权使用的机构刻制(    )枚，如需增加须经(    )批准。	中	1	一枚，总行运营管理部	两枚，总行运营管理部	一枚，分行运营管理部	两枚，分行运营管理部																																																																																																																																																																																																																																																				
单选题	公共基础	结算印章因停用、清理等原因收缴后，应由双人封存保管，保存（    ）以上方可销毁	中	3	一年	两年	三年	五年																																																																																																																																																																																																																																																				
单选题	公共基础	资金划转，在电子验印系统验印未通过、需要人工辅助核验的，应（    ）复核。支票等原始凭证上应（    ）签章确认	易	4	换人、换人	三人、双人	换人、单人	换人、双人																																																																																																																																																																																																																																																				
单选题	公共基础	运营主管在核销实时预警信息时，应突出对大额资金划转事项的落实，包括是否换人验印等柜员操作的（    ），必要时与（    ）沟通确认等	难	3	合规性、柜员	真实性、柜员	合规性、客户	真实性、客户																																																																																																																																																																																																																																																				
单选题	公共基础	对于单笔金额超过１００万元（含１００万元，当地银监局有明确规定的除外）的转账、汇划，以及现金支付等，要加强审核、审慎办理，原则上应进行（    ）	易	4	核实账户的真实性	核实业务的合规性	上门核实	电话查证																																																																																																																																																																																																																																																				
单选题	公共基础	当前，临柜业务用印主要分为交易用印与非交易用印。交易用印是指柜员通过生产系统交易处理并打印的业务凭证和账页等业务资料。以下属于交易用印的是（    ）	难	3	询证函	补制回单	柜员通过屏幕打印方式为客户提供的交易流水	司法查询书																																																																																																																																																																																																																																																				
单选题	公共基础	如遇特殊情况，营业机构确实需要将业务印章用于非临柜业务的（如营业机构必须按所在地行政机关要求出具的常规资料等），应由承办人将待用印事项填写（    ），提交营业机构负责人审批及运营主管审核	易	3	《运营主管工作日志》	《业务印章、钥匙等物品及密码保管使用登记簿》	《中国农业银行柜面重要事项登记簿》	《柜面交接登记簿》																																																																																																																																																																																																																																																				
单选题	公共基础	电话查证作为对客户提供的一项增值服务，各行要通过协议等形式明确双方的责任。一是要坚持（    ）原则；二是要明确联系不到客户时，只要凭证合法、支控手段有效，银行应按照结算法律与制度的要求正常办理	中	3	真实有效	及时有效	客户自愿	有据可查																																																																																																																																																																																																																																																				
单选题	专业知识	关于单位存款人申请更换预留个人签章，以下说法错误的是（    ）.	难	4	可由法定代表人或单位负责人直接办理，也可授权他人办理。	由法定代表人或单位负责人直接办理的，应出具加盖该单位公章的书面申请以及法定代表人或单位负责人的身份证件。	法定代表人或单位负责人授权他人办理的，应出具加盖该单位公章的书面申请、法定代表人或单位负责人的身份证件及其出具的授权书、被授权人的身份证件。	无法出具法定代表人或单位负责人的身份证件的，出具加盖该单位公章的书面申请以及被授权人的身份证件即可。																																																																																																																																																																																																																																																				
单选题	专业知识	关于单位存款人申请更换预留公章或财务专用章，以下说法错误的是（    ）.	中	4	原则上应向开户银行出具书面申请、原预留公章或财务专用章等相关证明材料。 	无法提供原预留公章或财务专用章的，应向开户银行出具原印签卡片、开户许可证、营业执照正本、司法部门的证明等相关证明文件。	单位存款人申请变更预留公章或财务专用章，可由法定代表人或单位负责人直接办理，也可授权他人办理。	法定代表人或单位负责人授权他人办理的，除出具相应的证明文件外，再出具法定代表人或单位负责人以及被授权人的的身份证件即可。																																																																																																																																																																																																																																																				
单选题	专业知识	以下哪些单位专用存款账户不得支取现金：（    ）.	中	2	 粮、棉、油收购资金	财政预算外资金	更新改造资金	党、团、工会经费																																																																																																																																																																																																																																																				
单选题	专业知识	以下关于银行结算账户的开立，说法错误的是：(     )	中	2	存款人为临时机构的，只能在其驻在地开立一个临时存款账户，不得开立其他银行结算账户。	存款人在异地从事临时活动的，可在其临时活动地开立多个临时存款账户。	建筑施工及安装单位企业在异地同时承建多个项目的，可根据建筑施工及安装合同开立不超过项目合同个数的临时存款账户。	机关和实行预算管理的事业单位因年代久远，批文丢失等原因无法提供政府人事部门或编制委员会的批文或登记证书的，凭上级单位或主管部门出具的证明及财政部门同意其开户的证明开立基本存款账户。																																																																																																																																																																																																																																																				
单选题	专业知识	合格境外机构投资者在境内从事证券投资开立的人民币特殊账户和人民币结算资金账户纳入专用存款账户管理。其开立人民币特殊账户时应出具(     )的批复文件，开立人民币结算资金账户时应出具(     )的证券投资业务许可证。	中	1	国家外汇管理部门，证券管理部门	 国家外汇管理部门，工商管理部门	工商管理部门，证券管理部门	工商管理部门，国家外汇管理部门																																																																																																																																																																																																																																																				
单选题	专业知识	根据目前国家“三证合一”登记制度改革相关规定，银行业金融机构为单位客户办理银行账户业务时应区分已纳入和未纳入“三证合一”的情形要求其提供证明文件，以下单位客户已实行“三证合一”的是：(     )。	难	3	个体工商户	事业单位	农民专业合作社	社会团体																																																																																																																																																																																																																																																				
单选题	专业知识	持加载统一社会信用代码营业执照的企业，银行录入人民币银行账户管理系统时，以下说法错误的是：(     )。	中	4	“工商营业执照”字段录入18位统一社会信用代码。	“国税登记证号”字段录入18位统一社会信用代码。	“地税登记证号”字段录入18位统一社会信用代码。	“组织机构代码”字段录入18位统一社会信用代码。																																																																																																																																																																																																																																																				
单选题	专业知识	《人民币银行结算账户管理办法》中关于久悬未取存款专户的说法正确的是（    ）。	易	4	只要一年未发生收付活动即可转入转久悬未取存款专户。	包括单位银行结算账户和个人银行结算账户。	转久悬未取存款专户前不需要通知存款人。	只包括单位银行结算账户。																																																																																																																																																																																																																																																				
单选题	专业知识	 13608.07元的正确大写金额是（    ）。	易	2	一万三千六百0八元0七分	壹万叁仟陆佰零捌元零柒分	壹万叁仟陆佰捌元零柒分	壹万叁仟陆佰零捌元柒分																																																																																																																																																																																																																																																				
单选题	专业知识	银行汇票申请人缺少解讫通知要求退款的，出票银行应于银行汇票提示付款期满（    ）后办理。	易	1	1个月	2个月	10个工作日	6个月																																																																																																																																																																																																																																																				
单选题	专业知识	银行应对已开立的单位银行结算账户实行（    ）制度，检查开立的银行结算账户的合规性，核实开户资料的真实性；对不符合规定开立的单位银行结算账户，应予以撤销。	易	2	核准	年检	撤销	通报																																																																																																																																																																																																																																																				
单选题	专业知识	按照《中华人民共和国工会法》成立的不具有社会团体法人资格的工会组织，应按照《人民币银行结算账户管理办法》的规定开立（    ）。	易	2	基本存款账户	专用存款账户	一般存款账户	临时存款账户																																																																																																																																																																																																																																																				
单选题	专业知识	下列票据记载事项中，（    ）是可以更改的。	易	4	票据的金额	出票日期	收款人名称	被背书人名称																																																																																																																																																																																																																																																				
单选题	专业知识	以下专用存款账户支取现金不需要人行批准的是（    ）。	易	4	更新改造资金	政策性房地产开发资金	金融机构存放同业资金	社会保障基金																																																																																																																																																																																																																																																				
单选题	专业知识	托收承付结算每笔的金额起点是（     ）（新华书店系统除外）	易	3	3000元	5000元	10000元	50000元																																																																																																																																																																																																																																																				
多选题	专业知识	依照我国法律规定，不是任何票据都必须记载的事项包括哪些？(   )	易	12	付款人名称	收款人名称	无条件支付的委托或承诺	出票日期																																																																																																																																																																																																																																																				
多选题	专业知识	当银行汇票到期被拒绝付款时，持票人可以对下列哪些人行使追索权? (   )	易	134	前手背书人	代理付款人	保证人	出票人																																																																																																																																																																																																																																																				
多选题	公共基础	我行电子商业汇票业务支持的渠道包括：(   )	易	123	柜台	网上银行	现金管理银企通平台	手机银行																																																																																																																																																																																																																																																				
多选题	公共基础	票据(   )不得更改，更改的票据无效。	易	134	金额	付款人名称	收款人名称	日期																																																																																																																																																																																																																																																				
多选题	公共基础	持票人行使追索权，可以请求被追索人支付下列金额和费用： （    ）。	易	123	被拒绝付款的汇票金额。	汇票金额自到期日或者提示付款日起至清偿日止，按照中国人民银行规定的流动资金贷款利率计算的利息。	取得有关拒绝证明和发出通知书的费用。	汇票金额自到期日或者提示付款日起至清偿日止，按照中国人民银行规定的1年定期存款利率计算的利息。																																																																																																																																																																																																																																																				
多选题	公共基础	汇票、本票、支票的共同绝对必要记载事项包括（    ）。	易	34	收款人名称	付款人名称	确定的金额	出票人签章																																																																																																																																																																																																																																																				
多选题	公共基础	电子银行承兑汇票提示付款期为自票据到期日起十日内，最后一日遇（  ）顺延。	易	123	法定节假日	大额支付系统非营业日	电子商业汇票系统非营业日	小额支付系统维护日																																																																																																																																																																																																																																																				
多选题	公共基础	我国票据法所称票据包括（   ）。	易	124	银行汇票、银行承兑汇票	现金支票、转账支票	银行本票、商业本票	商业承兑汇票																																																																																																																																																																																																																																																				
多选题	公共基础	关于我国票据制度中出票人的规定以下说法正确的是（   ）	易	124	银行汇票的出票人，为经中国人民银行批准办理银行汇票业务的银行。	银行本票的出票人，为经中国人民银行批准办理银行本票业务的银行。	商业汇票的出票人，为银行以外的企业、其他组织和个人。	支票的出票人，为在经中国人民银行批准办理支票存款业务的银行、城市信用合作社和农村信用合作社开立支票存款帐户的企业、其他组织和个人。																																																																																																																																																																																																																																																				
多选题	公共基础	票据查询的内容包括但不限于：（    ）。	易	1234	票面要素是否真实。	票据是否他查。	票据是否已经挂失止付。	票据公示催告或司法冻结。																																																																																																																																																																																																																																																				
多选题	公共基础	客户申请办理电子商业汇票业务的签约，应向其开户行提交以下资料：(   )。	易	1234	电子商业汇票业务开通申请表，并加盖其公章。	法定代表人（单位负责人）有效身份证件及复印件。	法定代表人（单位负责人）授权他人办理的，还需出具授权书。	法定代表人（单位负责人）授权他人办理的，还需出具被授权人有效身份证件及复印件。 																																																																																																																																																																																																																																																				
多选题	公共基础	根据我国票据法规定，支票上可以授权补记的事项包括（   ）。	易	24	出票日期	金额	付款人名称	收款人名称																																																																																																																																																																																																																																																				
多选题	公共基础	关于电子商业汇票质押业务规则，以下说法正确的是（    ）	易	123	银行和企业均可以作为质权人和出质人。	质押申请日期≦质押解除日期<票据到期日。	票据未记载“不得转让”事项。	质押申请日期≦票据到期日<质押解除日期。																																																																																																																																																																																																																																																				
多选题	公共基础	持票人行使追索权时可以依法取得的有关拒绝证明包括（    ）。	易	1234	承兑人或者付款人因违法被责令终止业务活动的，有关行政主管部门的处罚决定。	司法机关出具的承兑人、付款人逃匿的证明。	公证机关出具的具有拒绝证明效力的文书。	承兑人或者付款人被人民法院依法宣告破产的，人民法院的有关司法文书。 																																																																																																																																																																																																																																																				
多选题	公共基础	2016年1月10日甲向乙签发一张汇票，F银行承兑，乙持票后将该票背书给丙，丙背书给丁，丁背书给戊，戊背书给丙。丙到期提示付款被银行拒绝，丙可以向（  ）行使追索权。	易	134	F银行	丁	甲	乙																																																																																																																																																																																																																																																				
多选题	公共基础	对本行办理贴现业务的商业汇票到期办理委托收款时，可在纸质商业汇票系统按（    ）的流程依次处理。	易	23	保管出库、托收、贴现归还、委托收款/托收销记	托收出库、托收、贴现归还、委托收款/托收销记	托收出库、托收、汇票单笔登记、委托收款/托收销记	托收出库、托收、委托收款/托收销记																																																																																																																																																																																																																																																				
多选题	公共基础	当企业持有的电子商业汇票处于以下票据状态时可以办理票据贴现：(   )	易	124	提示收票已签收。	质押解除已签收。	质押已签收。	转让背书已签收。																																																																																																																																																																																																																																																				
多选题	公共基础	在贸易通系统中作未用退回处理（撤票）的电子商业汇票的票据状态应该为：(   )	中	13	出票已签收	提示承兑待签收	提示承兑已签收 	转让背书待签收																																																																																																																																																																																																																																																				
多选题	案例分析	甲向乙签发一张以乙为收款人的见票即付的汇票，乙将其背书转让给丙，丙在背书受让该票据后将其背书转让给丁，以下情形中，丁取得票据权利的情况是：(   ) 	中	13	丙在汇票上背书记载“不得转让”字样	丙在汇票背书上记载“委托收款”字样	丙在汇票上的背书上记载“货到付款”字样	丙将汇票金额的一部分背书转让给丁																																																																																																																																																																																																																																																				
多选题	专业知识	关于票据签章的规定，以下哪些叙述不符合我国《票据法》的规定?(   ) 	中	134	甲公司签发了一张转账支票，其在支票上的签章可以是甲公司的公章或者财务专用章，或者是甲公司的法定代表人的签章。	王某签发了一张银行支票，王某的签章必须与在银行预留的签章一致。	陈某的笔名“孤独求败”广为人知，本名反而知道的人很少，陈某在票据上签章时可以使用“孤独求败”这一笔名。	乙公司签发了一张银行承兑汇票给丙公司，汇票上没有乙公司的签章，但是丙公司可以以与乙公司之间签订的买卖合同证明该汇票系乙公司签发，汇票有效。 																																																																																																																																																																																																																																																				
多选题	公共基础	关于银行承兑汇票查询以下说法正确的是(   )。	中	123	未经查询的纸质银行承兑汇票不得办理贴现业务。	纸质商业承兑汇票进行质押必须经实地查询。	"银行承兑汇票单笔金额 1000 万元(含)以上的贴现业务,贴现行认为有必要进行实地查询的,可到承兑行进行实地查询。"	传真查询及纸质商业汇票系统查询后，可不通过网内往来系统或大额支付系统进行查询。																																																																																																																																																																																																																																																				
多选题	案例分析	甲公司在与乙公司交易中获汇票一张，出票人为丙公司，承兑人为丁公司，付款人为戊公司。当下列哪些情况发生时，甲公司可以在汇票到期日前行使追索权？(   )	中	34	乙公司申请注销法人资格。	丙公司被宣告破产。	丁公司被吊销营业执照。	戊公司因违法被责令终止业务活动。																																																																																																																																																																																																																																																				
多选题	案例分析	甲、乙签订一份购销合同。甲以由银行承兑的汇票付款，在汇票的背书栏记载有“若乙不按期履行交货义务，则不享有票据权利”，乙又将此汇票背书转让给丙。下列对该票据有关问题的表述哪些是正确的?(   )	难	134	该票据的背书行为为附条件背书，所附条件无效，背书行为有效。	乙在未履行交货义务时，不得主张票据权利。	无论乙是否履行交货义务，票据背书转让后，丙取得票据权利。	乙无论交货与否均享有票据权利。																																																																																																																																																																																																																																																				
