试题类型	知识范畴	题干	试题难度	正确答案	答案					
多选题	专业知识	对BOEing未涉及账务且已启动ＢＯＳ作业流程业务的应急处置，直接通过BOEing按原有交易流程进行处理，同时在“应急业务登记薄”注明（）	中	1234	账号	金额	业务种类	发起时间及ＢＯＳ受理记录号。		
多选题	专业知识	集中作业平台遇突发事件，启动应急处置预案系统恢复正常后，后续处置（）	易	1234	网点柜员应逐笔核对当天通过BOEing系统操作的业务笔数与实际业务量是否相符，	检查网点客户账户状态、资金变动的情况是否相符。	对于跨日业务，应于次日检查网点客户账户信息、资金明细的情况	如有不一致，应及时查明原因并处理。		
判断题	专业知识	账单名称是银行与客户约定的，余额对账单的名称。	易	1						
判断题	专业知识	生产系统中的对账签约，就是将银客双方签订的合同主要对账要素进行记录的过程。	易	1						
判断题	专业知识	集中对账管理系统除经省分行批准外，签约时对账周期不得选择按季或按年，原则上应统一选择“按月”。	中	-1						
判断题	专业知识	集中对账管理系统支持贷款账户建立账单	难	-1						
判断题	专业知识	保证金账户无论是否签约，系统都会为该保证金账户自动生成对账单。	难	-1						
判断题	专业知识	客户填写的纸质对账单邮寄地址与客户信息系统中记载的住所地不一致时，应以客户填写的对账单邮寄地址为准。（）	中	-1						
单选题	专业知识	银行对账单是指银行客观记录单位资金情况的记录单，可分为余额对账单和（）。	中	4	账户对账单	账面对账单	总额对账单	明细对账单		
单选题	专业知识	余额对账单记录（ ）存款人在银行方账户的账面余额。	易	1	某一时点	某一时期	某一时段	某一个月		
单选题	专业知识	明细对账单记录（ ）内，存款人在银行方账户的明细发生额。	易	3	某一个月	某一季度	某一时段	某一时点		
单选题	专业知识	对账签约是为了加强客户银行账户管理，维护客户及银行利益，规范银行和客户（ ），在自愿、平等、互利的原则下，由银行和客户双方明确各自权利和义务、约定对账方式、对账周期等对账要素的签订合同过程。 	中	2	对账事项	对账行为	对账事宜	对账结果		
单选题	专业知识	总行集中对账管理系统按客户对账时，区分是否同一个客户的标准是（）	难	3	账单号	账单名称	客户号	账户名称		
单选题	专业知识	集中对账管理系统支持的对账周期包括四种，即按月、按季、按年和( )。	易	4	按日	按周	按旬	默认		
单选题	专业知识	下列（）账户集中对账管理系统不支持建立账单	难	4	单独开立的定期存款账户	结算账户	单独开立的通知存款账户	定期存款子账户		
单选题	专业知识	贷款账户的对账单由系统自动加入（ ）所在账单。	难	3	基本账户	一般账户	付息结算账户	专用账户		
单选题	专业知识	BOEing集中对账服务签约的交易代码（）	易	2	66001	66100	66300	66000	答案错	
单选题	专业知识	BOEing账单账户管理的交易代码（）	易	1	66201	61109	62020	62051	答案错	
单选题	专业知识	如果客户在签订对账服务协议时，要求使用“其他对账签章”的，营业机构应为客户建立（ ）。	中	2	印鉴影像	对账印鉴卡	对账验印方式	验印模板		
单选题	专业知识	（）交易用于修改账单名称、收件人、对账方式、对账周期、验印方式、短信通知标识等对账签约信息。	中	2	账单账户管理	账单信息管理	账户信息维护	对账签约管理		
多选题	专业知识	下列（）账户在集中对账管理系统支持的对账范围之内。	难	1234	结算账户	定期存款账户	通知存款账户	保证金账户		
多选题	专业知识	银行对账单账单号共12位，由( )组成	易	124	省市代码	营业机构号	客户号	顺序号		
多选题	专业知识	客户首次与我行办理对账服务的，要签订（）	易	24	《银行结算账户管理协议》	《银企对账服务协议》	《使用电子支付密码协议书》	《银企对账要素表》		
多选题	专业知识	（ ）无论是否签约，集中对账管理系统都会自动生成对账单。	中	1234	结算账户	定期存款账户	通知存款账户	贷款账户		
多选题	专业知识	经办柜员接到客户提交的《银企对账服务协议》后，应对协议内容的（）进行审核，提醒客户注意协议中各条款，特别是黑体加粗条款。	易	13	真实性	准确性	完整性	一致性		
多选题	专业知识	集中对账服务签约交易成功后，输出信息包括账单号（）	中	1234	账单名称	对账方式	对账周期	验印方式		
判断题	专业知识	运营档案分为凭证、账簿、报表、清单流水、其他共五类	易	1			 			
判断题	专业知识	人民币结算账户开销户资料可按账户有效期确定，账户开立后装订、归档。	难	-1						
判断题	专业知识	已入库保管的纸质运营档案，原则上保持原册装订，个别需要拆册重新装订整理的，必须由档案库房和原档案装订人员共同拆封整理，以分清责任。（  ）	易	-1						
判断题	专业知识	库房安全防护应做到防火、防潮、防盗、防光、防尘、防有害生物。	易	1						
判断题	专业知识	档案库房监控录像应至少保存半年备查。	中	-1						
判断题	专业知识	档案库房应分为作业区、保管区、调阅区和办公区。其中，作业区要与其他区域严格分开。（  ）	易	1						
单选题	专业知识	关于电子运营档案，下列说法错误的是（  ）。	中	3	电子档案是指采取信息化手段，以电子数据或影像形式保存在磁性介质中的运营档案	在内部监管检查、考核中，电子档案与纸质档案具有同等作用	电子档案应该打印成纸质档案进行保存	在配合外部有权机关执行公务时，电子档案可作为查询依据		
单选题	专业知识	"关于纸质档案的整理装订期限，下列说法错误的是（）。
"	易	4	需专夹保管的运营档案，平时应按日期先后顺序排列、专夹保管，月度或年度终了再按保管年限装订成册	日报表、清单、流水按月装订	各种销讫卡片账，按销账日期顺序按月或季度装订	各种活页分户账应按科目按账号顺序按月装订		
单选题	专业知识	根据《中国农业银行运营档案管理规定》，凭证塑封要求说法错误的是（）	难	2	塑封袋不得出现漏气现象	同一柜员凭证因数量过多分袋塑封的，每个塑封袋都要打印凭证包封签。	影像处理系统生成的营业机构号、柜员号等塑封信息应与凭证核对一致。	以上均不正确		
单选题	专业知识	"关于运营档案保管期限，下列说法错误的是（ ）。
"	中	3	"纸质档案的保管期限分为永久和定期两类
"	定期档案保管期限分为3年、5年、15年三种	保管期限从档案形成装订后第一天算起	有未结清债权债务关系或其他未了事项的，相应档案的保管期限要无限延长，直至查清		
单选题	专业知识	关于纸质档案集中保管说法错误的是（）	易	2	各行应至少以一级支行为单位设置档案库房，实行辖属行纸质档案的集中保管。	凭证类档案应按照集中监控的规定，按周将凭证传递至运营监控中心进行扫描、塑封、装箱。	经运营监控中心塑封装箱后的凭证按月或根据临时库房的存储条件定期移交至档案库房进行集中保管。	账簿、清单流水、报表及其他专夹保管的纸质档案，应定期由营业机构移交至档案库房进行集中保管。		
单选题	专业知识	关于档案未移交至库房前的调阅，下列说法错误的是（）	中	4	调阅的档案不得涂改、圈划、拆散原卷册，不得私自复制。	提供给内外部人员的纸质档案复印件，均应注明用途，标明不得挪作他用。	行内人员调阅档案，应提供有效证件，说明调阅部门、原因、档案名称及时间等，经运营主管批准，办理调阅登记手续后，提供查阅或复制。	外部有权机构调阅档案，应提供有效证件及协助查询通知书等有效证明材料，经运营主管审批通过后，办理调阅登记手续后，提供查阅或复制。		
单选题	专业知识	"关于机构分设或撤并后的运营档案保管移交行为，下列说法错误的是（）。
"	难	4	"机构分设后，原机构保留的，档案继续由原机构保管

"	"机构分设后，不保留原机构的，档案应经分设各方协商后由其中一方保管
"	"机构撤并后，档案应移交账务接收机构保管
"	档案交接双方按照移交清单所列内容进行现场清点后办理接收手续，并通过ADMS生成档案移交清册，如有不符要注明原因		
单选题	专业知识	关于电子运营档案的归档，以下说法错误的是（）。	中	3	生产系统完成业务处理后，形成的电子档案应由科技部门进行归档。	归档后的电子档案要纳入运营档案管理系统或存入光盘、硬盘等磁性介质保存。	为便于电子档案查阅，归档后的电子档案可以与其他系统共享。	归档后的运营档案不得修改。		
单选题	专业知识	关于外部调阅电子档案，下列说法错误的是	中	3	外部有权机构人员因执行公务调阅电子档案的，应提供有效证件及协助查询通知书等有效证明材料	经被调阅机构审批，办理调阅登记手续。	外部人员调阅电子档案时，为其在运营档案管理系统中分配临时用户进行调阅。调阅结束后应及时收回用户权限。	调阅结束后，由系统生成调阅登记簿。		
单选题	专业知识	关于电子运营档案的销毁，下列说法错误的是（）。	易	4	保管期满的电子运营档案，由科技部门向同级运营管理部门提交电子档案清单，由运营管理部门通知应用机构 	支行运营管理部门接到通知后，比照纸质档案销毁流程牵头组成鉴定小组，对需销毁的档案进行鉴定	确认有未了事项需要继续保存的，应自行刻制光盘或打印成纸质形式保存	确认可以销毁的，报本行运营管理部审批后，逐级报送上级行运营管理部门审批，直至一级分行运营管理部		
单选题	专业知识	运营档案库房至少设置（ ）名库房负责人、（）名库管员和（）名保安。	中	1	1、2、2 	1、1、2	 2、2、4 	2、2、2 		
单选题	专业知识	不允许进入运营档案库房保管区的人员是（）。	易	3	库房负责人	库管员	管辖行行长	符合手续的检查人员		
单选题	专业知识	关于纸质运营档案的入库操作，下列说法错误的是（）。	难	4	纸质档案入库必须由库管员双人负责	交接双方应根据待入库清单所列内容进行现场清点	清点相符的要及时办理入库签收手续	存在不符现象的，应将相符部分接收，将不符部分退回移交行。		
单选题	专业知识	关于档案库房的常规检查责任人和检查频率，下列说法错误的是（）。	难	1	库房负责人应每季对库房进行一次检查	库管员应每月对库房进行一次检查	运营管理部门负责人应每半年对库房进行一次检查	主管行长应每年对库房进行一次检查		
多选题	专业知识	运营档案管理是对运营档案的整理、归档 （）的过程管理	易	1234	保管	调阅	移交	销毁		
多选题	专业知识	 对于装订成册的账簿、报表、清单运营档案，由（）在骑缝处加盖个人章	易	13	装订人员	保管人员	运营主管	网点负责人		
多选题	专业知识	根据《中国农业银行运营档案管理规定》，凭证装箱要求说法错误的是（）	中	24	同一营业机构的凭证包原则上放在同一凭证箱内，如需要分开装箱，箱号必须连续，	同一网点不同交易日期的凭证可以放入同一凭证箱内	凭证箱条形码储存的信息必须与箱内的凭证核对一致。	不同营业机构的凭证不能合并装箱		
多选题	专业知识	保管期满运营档案销毁工作由运营管理部门牵头，会同（  ）组成销毁鉴定小组。	中	1234	办公室     	财务会计部门	安全保卫部门     	内控合规部门		
多选题	专业知识	纸质档案销毁后，由（）在档案销毁清册上签字盖部门公章，销毁清册由档案库房永久保管。 	易	1234	经办人 	保管人	审批人	监销人		
多选题	专业知识	"关于电子档案的保管期限，以下说法正确的是（  ）。
"	难	134	生产系统生成的电子账簿、报表、清单类档案的保管期限分为永久和定期两类	生产系统生成的各类影像档案资料的保管期限，按来源不同可分为1年、3年、5年三种	来源于运营监管平台的影像资料保管5年，	来源于集中作业平台、集中授权的影像资料保管1年。		
多选题	专业知识	纸质档案入库后，由库管员按()等对档案进行分类，再按从上到下、从左到右的顺序依次上架摆放。	易	234	保管机构	保管期限	年度	档案类型		
多选题	专业知识	关于运营档案的库房现场调阅，下面说法正确的是（）。	中	123	档案库房不直接受理外单位的档案调阅申请	内、外部人员的运营档案调阅申请都应经过档案库房同级运营管理部门审批	档案调阅人所需的证据和有关资料，在调阅清单范围内可以抄录、照相、复印	根据需要，纸质档案原件从库房借出须经上级行运营管理部门审批 ，调阅完毕及时收回。		
单选题	专业知识	下列（）为永久保管的档案资料	易	2	运营档案查询书、介绍信等附属资料	长期不动户登记簿及激活、转营业外收入登记簿	本行及汇总全辖的月、季、半年报表及文字资料	综合核算和明细核算的各种账簿		
单选题	专业知识	下列（）是应该保管5年的运营档案资料。	易	4	运营监管类档案	电子银行证书管理登记簿	开销户资料及服务协议	运营主管工作日志		
单选题	专业知识	交易流水的保管期限为（）	易	3	3年	5年	15年	永久		
判断题	专业知识	档案管理系统公共用户有效时间最长为１0天。	中	-1						
判断题	专业知识	"各级行ＡＤＭＳ用户短期离岗或轮休，由管理员在系统中将用户状态设置为“停用”；用户调动或离职应从系统中删除用户信
息。"	易	1						
单选题	专业知识	"以下关于ADMS用户编号规则说法错误的是（  ）。
"	易	2	ADMS用户编码由“2位省市代码+4位用户码”组成	ADMS的4位用户码应为不重复的4个数字	ADMS用户密码为6位“字母+数字”组合	ADMS用户码和密码只限本人使用，严禁转借他人		
单选题	专业知识	关于电子及影像档案的内部调阅，下列说法错误的是	易	4	"当需要调阅电子及影像档案时，应由调阅人提出申请，经被调阅机构审批准后，由档案操作员为调阅人分配公共用户进行查阅
"	查阅完毕，档案操作员应及时通过档案归还交易删除公共用户，并生成《运营档案调阅登记簿》	公共用户只用查询权限，无下载和打印权限	"如需打印，应由被调阅机构负责人指定人员为其打印，并在其上注明用途，以分清责任
"		
单选题	专业知识	"关于纸质档案系统上架，下列说法正确的是（ ）。
"	中	4	ADMS支持手工上架和自动上架两种模式	塑封档案可以选择手工上架和自动上架任意一种模式	未塑封档案仅能选择手工上架模式	系统上架业务应由档案库管理员将档案存放位置登记到系统中	答案错误	
多选题	专业知识	各支行的（）需要二级分行运营部档案管理员进行维护。	难	123	 运营部档案管理员	档案负责人	档案主管总经理       	系统管理员		
多选题	专业知识	"关于纸质档案ADMS系统登记，下列说法正确的是（）。

"	中	134	"按照登记方式不同，系统登记可分为在线登记和离线批量登记两种
"	"系统登记适用于塑封和未塑封纸质档案


"	登记完毕，系统会自动分配纸质档案编号形成档案记录	各级行应在纸质档案装订面上抄录系统产生的纸质档案编号，保证纸质档案实物与系统记录一一对应		
多选题	专业知识	"关于运营档案的系统外移交，下列说法正确的是（）。
"	难	124	"系统外移交是指发生不同系统之间机构合并时，系统内、外两机构之间的档案交接。
"	发生系统外档案移交时，由我行机构档案操作员编制待移交档案清单，逐级上报至一级分行运营管理部。	系统外移交档案，应由各级行运营部档案管理员审核，档案主管总经理审批。	"一级分行同意移交申请后，方可组织档案移交。 
"		
多选题	专业知识	关于ADMS库房管理，下列说法正确的是（  ）。	难	14	"ADMS档案库房按照“库区-库柜-柜格”三级模式建库
"	档案库管理员应该遵循从高到低的建库模式，先建库区，再建库柜，最后建柜格	"塑封档案和未塑封档案可以存放在同一个库区内
"	"塑封和未塑封纸质档案均可纳入ADMS进行管理
"	答案错误	
多选题	专业知识	关于库房档案盘点，下列说法正确的是（）	易	134	库房管理人员应在年度终了或人员发生变动时，对库房档案进行盘点。	档案库管理员在系统中发出盘点申请，由系统次日按库区生成库房档案盘点清单	档案库操作员将清单与实物一一核对	档案如有遗失、损毁情况在系统中进行登记，同时报告档案归属机构，及时采取补救措施。		
判断题	专业知识	按照相关规定需执行核查客户身份信息的，柜员应执行客户身份核查，核对客户姓名、身份证号码、照片信息。核对不一致的，柜员应当拒绝办理。（）	易	-1						
判断题	专业知识	错账按发现的时间，可分为当日错账、次日及本年错账、以前年度错账。	易	1						
判断题	专业知识	对次日及在本年内发现的差错，进行错账冲正时，按“先借方红字或贷方蓝字，后贷方红字或借方蓝字”的账务处理顺序进行多笔冲正处理。	中	-1	 	 	 	 		
判断题	专业知识	对已纳入运营档案管理系统（ADMS）管理的二联套打的回单，只需打印给客户的一联，银行留存联在ADMS中以电子形式保管。	中	1						
单选题	专业知识	柜员在受理业务申请时，对凭证的基本要素进行审查，并以（）为依据，在权限范围内办理业务。	易	2	记账凭证	原始凭证	业务凭证	贷方凭证		
单选题	专业知识	以下（）不属于临柜业务审批要点 。	中	3	权限性审查	真实性审查	合法性审查	合规性审查	答案错	
单选题	专业知识	对假币处理不正确的是（  ）。	易	2	收缴假币必须由两名以上临柜人员同时认定	实际收缴过程中，持有人对认定的假币要求拿回再辨认时，收缴人员应交客户供其辨认 	假币收缴后，柜员应向持有人说明其有申请鉴定的权力	 收缴的操作（如盖戳、封装等）须在货币持有人视线范围内或有效监控内进行		
单选题	专业知识	对残损币处理不正确的是（）	易	3	残损币的兑换，按照《中国人民银行残缺人民币兑换办法》执行。 	兑换残损币应认真鉴别真伪和点验清楚，持有人同意认定结果的，方可办理。	办理残损币兑换业务时，应向持有人说明认定的兑换结果；不予兑换的残损币，应予没收。	残损币持有人对认定结果有异议的，经持有人要求，应出具认定证明并退回残缺、污损人民币，并告知持有人可到人民银行分支机构申请鉴定。		
单选题	专业知识	营业机构调入重要空白凭证时，（）应认真审核凭证调拨单与实际调入的实物种类及数量是否相符，清点核对凭证号码是否正确、连续。	易	1	重要空白凭证管理员	运营主管	记账员	管库员		
单选题	专业知识	关于营业机构调出重要空白凭证，下列说法不正确的是（）	易	3	重要空白凭证管理员应认真审查调出手续是否符合规定，调出的重要空白凭证实物种类及数量与调拨单是否相符	清点核对凭证号码是否正确、连续。	审核无误后，由重要空白凭证管理员填制记账凭证，选择相关凭证出库交易，打印记账凭证，	实物交有关人员调出。		
单选题	专业知识	关于柜员出售凭证，下列说法不正确的是（）	中	4	柜员收到相关申请凭证时，应审核申购人是否为客户的财务人员或有权经办人员，检查客户账户状态是否正常。	申购的凭证是否在对外出售凭证范围内，加盖的印章与预留印鉴是否相符，柜员在相关申购凭证上填写凭证号段后，选择相关交易，收取出售凭证费用。	审核无误后，柜员选择相关凭证出售交易，根据申购内容输入交易要素，打印记账凭证并加盖业务办讫章。	“凭证出售”交易成功后，柜员将申购的重要空白凭证交予客户，由客户在重要空白凭证右上角加盖开户行全称和开户人账号。		
单选题	专业知识	关于收回旧式停用凭证，下列说法不正确的是（）	中	1	客户应将停用凭证缴回银行。缴回凭证时应由客户抄列未用重要空白凭证清单一式两份，加盖单位公章，连同凭证一并缴回开户行。	柜员应审核清单上的凭证种类、号码与交回的凭证是否一致，是否为本行出售的重要空白凭证；交回的重要空白凭证份数、号码是否与客户领用及使用的凭证份数、号码匹配及衔接。	发生短缺的，必须要求其追回，如客户确实无法缴回的，须出具书面保证，承诺承担由此产生的经济纠纷一切责任。	柜员对收回的未用重要空白凭证当场剪角，并加盖作废章 。		
单选题	专业知识	未发行的有价单证因残缺不全、签发错误、超过发行时间、已兑付且已过保管年限需销毁时，由营业机构逐级将有价单证上缴管理行，由（）进行集中销毁 。	难	2	管辖行	二级分行	一级分行	总行		
单选题	专业知识	在集中作业模式下，营业机构基本职责不含（  ）。	中	4	受理业务	真实性、合规性审核	采集凭证影像	录入切片		
单选题	专业知识	（）根据各个营业机构的行部类型及其业务结构、业务特性等确定不同的授权标准。	难	2	总行	一级分行	二级分行	管辖支行		
单选题	专业知识	办理转授权和撤销转授权时，运营主管应在《》上注明。	易	1	运营主管工作日志	柜面业务交接登记簿	柜面重要事项登记簿	会计主管工作日志		
单选题	专业知识	 关于授权责任界定，下列说法错误的是（）	中	1	对于单授权业务，由主管兼柜员授权时，经办柜员负主要责任，授权主管负次要责任。	由专职主管授权时，授权主管负主要责任，经办柜员负次要责任。	对于双授权业务，两名授权主管负同等责任。	未经运营主管批准办理转授权的，转授权主管负主要责任，被授权主管负次要责任。		
单选题	专业知识	远程集中授权业务的合规性、资料完整性以及要素录入的准确性由授权主管（  ）。	中	2	负全部责任	负主要责任	负次要责任	不需承担责任		
单选题	专业知识	在远程集中授权模式下，客户身份、凭证及相关资料的真实性由营业机构（）负责。	易	3	运营主管	授权主管	经办柜员	复核柜员		
单选题	专业知识	对次日及在本年内发现的差错处理正确的是（）。	难	1	借记差错，先选择“冲正”交易补记正确账务，打印蓝字填制的记账凭证，再选择“冲正”交易冲销原错误账务	借记差错，先选择“冲正”交易冲销错误账务，打印红字填制的记账凭证，再选择“冲正”交易补记正确账务	借记差错，先选择“冲正”交易冲销错误账务，打印蓝字填制的记账凭证，再选择“冲正”交易补记正确账务	借记差错，先选择“冲正”交易冲销错误账务，打印红字填制的记账凭证，再直接记载正确账务		
单选题	专业知识	关于次日及在本年内发现的差错处理正确的是（）。	中	3	借贷方同时记错时，先按照“先冲记借方红字、后冲记贷方红字”的顺序冲账，后按“先补记借方蓝字、后补记贷方蓝字”的顺序补记正确账务。	借贷方同时记错时，先按照“先冲记借方红字、后冲记贷方红字”的顺序冲账，后按“先补记贷方蓝字、后补记借方蓝字”的顺序补记正确账务。	借贷方同时记错时，先按照“先冲记贷方红字、后冲记借方红字”的顺序冲账，后按“先补记借方蓝字、后补记贷方蓝字”的顺序补记正确账务。	借贷方同时记错时，先按照“先冲记贷方红字、后冲记借方红字”的顺序冲账，后按“先补记贷方蓝字、后补记借方蓝字”的顺序补记正确账务。		
单选题	专业知识	关于应付利息计提日处理，下列说法错误的是（）	难	1	“应付利息”在每季季末日终由系统批量进行计提，生成应付利息余额情况表	营业机构在月末后的第一个工作日打印应付利息余额情况表，	可通过运营档案管理系统（ADMS）进行查询，核对本机构应付利息计提是否准确。	以上均不正确		
单选题	专业知识	（）不属于柜员日终账实核对的内容。	易	4	现金核对	核对重要空白凭证和有价单证	清点印章	传票与原始凭证的核对		
多选题	专业知识	营业前柜员做好（）准备工作	易	1234	清理柜台，查看办理业务需用的各类凭条、办公用品是否准备齐全。	开启终端、打印机、点钞机、对讲机等设备，检查系统、设备是否正常工作。	与随车业务员做好交接工作，	检查现金箱是否完好无损。		
多选题	专业知识	需先经运营主管等有权人审批签字（章）同意后，柜员方能办理的业务包括（）。	易	1234	单位结算账户开立、变更、销户，印鉴更换、挂失以及电子支付密码支控方式增删等处理手续。	错账、挂账及处理。	柜员及自助设备长、短款处理。	应收应付款及其他内部账务（包括内部自制凭证）处理。		
多选题	专业知识	临柜业务审批要点包括（）。	易	134	权限性审查	真实性审查	合法性审查	合规性审查	答案错误	
多选题	专业知识	关于业务真实性审查包括（）	易	1234	业务是否真实发起，原始合同、协议或凭证是否经客户等发起人签字（章）。	客户提交的原始凭证是否真实，有无伪造、变造、挖补。	填制的内部凭证与原始合同、协议或凭证是否一致；	客户提交的身份证件、证明文件是否真实有效。		
多选题	专业知识	关于业务合规性审查包括（）	易	134	申请的业务是否符合法律、法规及农业银行业务管理办法、操作规程的规定。	客户资料复印件与原件是否一致。	原始资料记载的各项要素是否填写齐全、准确。	审批人、经办人及其他相关责任人在规定的业务资料或凭证上的签字（章）是否真实、正确、齐全。		
多选题	专业知识	 关于临柜业务履行审批手续，下列说法错误的是（）	易	23	如审批人同时是系统操作授权人、相关凭证上已输出打印授权人姓名或柜员号的，视同已履行审批职责，必须在相关材料上签署审批意见，由授权人承担审批人职责。	如审批人同时是系统操作授权人、相关凭证上已输出打印授权人姓名或柜员号的，视同已履行审批职责，可不在相关材料上签署审批意见，由授权人承担审批人职责。	对于已应用集中作业平台的营业机构，需审批的业务如已上收作业中心集中处理，则无论审批人是否同时为系统操作授权人，都需在相关资料上签署意见。	对于已应用集中作业平台的营业机构，需审批的业务如已上收作业中心集中处理，审批人同时为系统操作授权人，无需在相关资料上签署意见。	答案错误	
多选题	专业知识	临柜业务现金管理的基本原则是（）。	易	1234	现金收付必须坚持“收入现金先收款后记账，付出现金先记账后付款”的原则。	坚持执行“碰箱”、当日核对账款及检查监督制度	柜员现金箱应设置合理限额，超过限额的现金应及时缴存主出纳	未设置主出纳的营业机构在日终缴存金库		
多选题	专业知识	临柜现金业务的处理要求包括（）	易	1234	办理柜面现金业务必须在有效监控和客户视线以内，做到当面点准，一笔一清、一户一清。	收付现金必须做到先点捆、卡把，核准封签，再拆把点数；拆捆时先确认每捆十把，再拆捆，做到现金实物与记账凭证或现金调拨单相符。	大额现金支取应按规定进行客户身份核查，并审查是否符合审批、预约等规定。	收付现金需按规定整点、挑残。		
多选题	专业知识	重要空白凭证的（）由系统自动进行流程控制和账务处理。	易	1234	调入	调出	出售	使用		
多选题	专业知识	下列（ ）代保管有价值品、抵（质）押品按一元记账。	易	34	代保管国债	抵（质）押的存单	抵（质）押的权利凭证	封包(袋)保管的有价值品		
多选题	专业知识	下列关于主管授权操作要点正确的是（）	易	124	主管进行授权前，应根据相关制度办法审查业务真伪，核实原始凭证主要要素与柜员输入内容是否一致。	现金业务应卡把现金大数，核对无误后再进行授权。	主管需在授权指纹认证后方可离开现场。	对授权后不成功的交易，授权主管应监督经办柜员修改后重新提交，直至成功或退出交易界面。		
多选题	专业知识	关于当日发现的账务差错的处理，下列说法中正确的是（    ）。	中	123	对当日发生的账务差错，经运营主管审批后，由原经办柜员选择抹账交易，打印抹账记账凭证，与原错误凭证要素核对无误后，加盖业务办讫章； 	在原错误的记账凭证上批注“已用×××(抹账记账凭证号)抹账”字样。	对抹账后需重新记账的，应在新记账凭证上批注重记“××××(原错误记账凭证号)错账”字样；在原始凭证摘要栏上用红字批注“××××(重新记账凭证号)重新记账”字样，原始凭证附原错误记账凭证后。	对凭证金额或账号填错，账随之记错的当日错账，应先作抹账处理，再更正凭证。对抹账涉及重要空白凭证作废的，应将作废凭证作抹账记账凭证附件。		
多选题	专业知识	关于对次日及在本年内发现的账务差错处理错误的是（）。	难	134	贷记差错，经运营主管审核批准后，先选择“冲正”交易冲销原错误账务，打印蓝字填制的记账凭证，再选择“冲正”交易补记正确账务。	贷记差错，经运营主管审核批准后，先选择“冲正”交易冲销原错误账务，打印红字填制的记账凭证，再选择“冲正”交易补记正确账务。	贷记差错，经运营主管审核批准后，先选择“冲正”交易补记原错误账务，打印红字填制的记账凭证，再选择“冲正”交易冲销正确账务。	贷记差错，经运营主管审核批准后，先选择“冲正”交易冲销原错误账务，打印红字填制的记账凭证，再选择“转账业务”交易补记正确账务。		
多选题	专业知识	关于以前年度差错处理，以下说法正确的是（    ）。	中	234	本年度发现以前年度错账，遵循“蓝字冲账、红字补登”的原则办理相关冲正交易。	对会计报表相关项目进行更正，涉及损益项目的应通过“以前年度损益调整”科目进行更正。	更正重要的以前年度损益类错账时，应视同该项差错从未发生，从而进行相应账务处理	更正不重要的以前年度损益类错账时，视同当年错账处理，如因冲正而发生反方向余额时，账户余额红字反映，科目余额轧差反映，不得更改决算报表		
多选题	专业知识	按产生挂账的原因，挂账可分为（）。	难	134	正常结算性挂账	长短款挂账	操作差错挂账	系统挂账		
多选题	专业知识	关于操作差错挂账处理，下列说法中正确的是（    ）。	中	123	一级分行应根据《中国农业银行临柜基本业务管理办法》 要求，结合本行实际制定临柜差错挂账的审批权限。	对于当日非系统原因而无法结清的过渡业务，由运营主管审批后进行挂账处理	次日查清后将挂账原因和处理结果按差错挂账规定上报管辖行备案。	临柜差错挂账必须认真查清差错原因并及时销账。对于挂账后形成损失的，经运营主管审批同意后，“营业外支出”列支销账。		
多选题	专业知识	关于定期结息，打印及核对内容包括（）	难	1234	营业机构于结息日后的第一个工作日打印批量结息资料，包括结息凭证（结息清单）及利息回单	核对结息凭证（结息清单）与利息清单，	内部核算账户应核对利息清单与利息凭证	抽查审核部分账户结计的利息和账务是否正确。		
判断题	专业知识	邮政汇兑资金在人民银行贷方余额的结息日为每季度末月的21日	中	-1						
判断题	专业知识	个人活期存款按季结息，按结息日挂牌活期利率计息，每季末月的20日为结息日，未到结息日清户时，按清户日挂牌公告的活期利率计息到清户当日止。（）	易	-1						
判断题	专业知识	"人民币业务的利率换算公式为：日利率(0／000)＝年利率(％)÷360 
 "	易	1						
判断题	专业知识	人民币贷款月利率换算公式为：月利率(‰)＝年利率(％)÷12	中	1						
判断题	专业知识	按逐笔计息法，银行可选择将计息期全部化为实际天数计算利息，即每年365天（闰年366天），每月为当月公历实际天数，计息公式为：利息=本金×实际天数×月利率。（）	中	-1						
单选题	专业知识	关于邮政汇兑资金在人民银行贷方余额的结息，下列说法正确的是().	难	2	按月计息	执行超额准备金利率	按年结息	计息期间遇利率调整不分段计息		
单选题	专业知识	关于单位活期存款结息，下列说法错误的是（） 	中	3	按日计息	按季结息	计息期间遇利率调整不分段计息，按结息日挂牌活期利率计息，。	每季度末月的20日为结息日。 		
单选题	专业知识	按实际天数每日累计账户余额，以累计积数乘以日利率计算利息的计息方法是（）。	易	4	逐笔计息法	复式计息法	单笔计息法	积数计息法		
单选题	专业知识	按预先确定的计息公式逐笔计算利息的计息方法是（）。	易	1	逐笔计息法	复式计息法	单笔计息法	积数计息法		
单选题	专业知识	下列利息计算公式不属于逐笔计息法的是（）	中	3	利息=本金×年（月）数×年（月）利率	利息=本金×年（月）数×年（月）利率+本金×零头天数×日利率	利息＝累计计息积数×日利率	利息=本金×实际天数×日利率		
单选题	专业知识	若银行选择将计息期全部化为实际天数计算利息，即每年为365天（闰年366天），每月为当月公历实际天数，计算公式为（）	易	1	利息=本金×实际天数×日利率	利息=本金×年（月）数×年（月）利率	利息=本金×年（月）数×年（月）利率+本金×零头天数×日利率	利息=累计计息积数×日利率		
